0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Facility,,,,
1,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Watthour Meters, Class 1 and 2",Insulation Resistance,"IS 13779, Clause 12.7.6.4"
2,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Watthour Meters, Class 1 and 2",Limits of Error Due to Variationof the Current,"IS 13779, Clause 11.1"
3,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Watthour Meters, Class 1 and 2",No-load Condition,"IS 13779, Clause 12.13"
4,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Direct Connect Watthour Smart Meters, Class 1and 2",A.C. High Voltage,"IS 16444(Part 1), Clause 6.10.6"
5,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Direct Connect Watthour Smart Meters, Class 1and 2",Insulation Resistance,"IS 16444(Part 1), Clause 6.10.6"
6,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Direct Connect Watthour Smart Meters, Class 1and 2",Limits of Error Due to Variationof the Current,"IS 16444(Part 1), Clause 6.12"
7,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Direct Connect Watthour Smart Meters, Class 1and 2",Meter Constant,"IS 16444(Part 1), Clause 6.12"
8,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Direct Connect Watthour Smart Meters, Class 1and 2",No-load Condition,"IS 16444(Part 1), Clause 6.12"
9,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Direct Connect Watthour Smart Meters, Class 1and 2",Power Consumption,"IS 16444(Part 1), Clause 6.10.1"
10,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Direct Connect Watthour Smart Meters, Class 1and 2",Repeatability of error,"IS 16444(Part 1), Clause 6.12"
11,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Direct Connect Watthour Smart Meters, Class 1and 2",Starting Condition,"IS 16444(Part 1), Clause 6.12"
12,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer operated watthour and var-hourmeters Class 0.2 S & Class 0.5 S,A.C. High Voltage,"IS 14697, Clause 12.7.6.3"
13,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer operated watthour and var-hourmeters Class 0.2 S & Class 0.5 S,Insulation Resistance,"IS 14697, Clause 12.7.6.4"
14,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,A.C. Static Transformer operated watthour and var-hourmeters Class 0.2 S & Class 0.5 S,Power Consumption,"IS 14697, Clause 12.7.1"
15,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer operated watthour and var-hour Smart meters Class 0.2 S, Class 0.5 S & Class 1.0 S",A.C. High Voltage,"IS 16444(Part 2), Clause 6.10.6"
16,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer operated watthour and var-hour Smart meters Class 0.2 S, Class 0.5 S & Class 1.0 S",Insulation Resistance,"IS 16444(Part 2), Clause 6.10.6"
17,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Transformer operated watthour and var-hour Smart meters Class 0.2 S, Class 0.5 S & Class 1.0 S",Power Consumption,"IS 16444(Part 2), Clause 6.10.1"
18,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Watthour Meters, Class 1 and 2",A.C. High Voltage,"IS 13779, Clause 12.7.6.3"
19,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Watthour Meters, Class 1 and 2",Meter Constant,"IS 13779, Clause 12.15"
20,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Watthour Meters, Class 1 and 2",Power Consumption,"IS 13779, Clause 12.7.1"
21,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Watthour Meters, Class 1 and 2",Repeatability of error,"IS 13779, Clause 12.17"
22,ELECTRICAL- ELECTRICALINDICATING &RECORDINGINSTRUMENTS,"A.C. Static Watthour Meters, Class 1 and 2",Starting Condition,"IS 13779, Clause 12.14"
